,Date,Close
0,2015-08-07,2.77212
1,2015-08-08,0.753325
2,2015-08-09,0.701897
3,2015-08-10,0.708448
4,2015-08-11,1.06786
5,2015-08-12,1.21744
6,2015-08-13,1.82767
7,2015-08-14,1.82787
8,2015-08-15,1.6889
9,2015-08-16,1.56603
10,2015-08-17,1.20361
11,2015-08-18,1.08705
12,2015-08-19,1.25886
13,2015-08-20,1.46492
14,2015-08-21,1.39529
15,2015-08-22,1.37923
16,2015-08-23,1.35259
17,2015-08-24,1.23127
18,2015-08-25,1.14019
19,2015-08-26,1.15998
20,2015-08-27,1.1477
21,2015-08-28,1.19138
22,2015-08-29,1.18255
23,2015-08-30,1.31927
24,2015-08-31,1.35824
25,2015-09-01,1.35161
26,2015-09-02,1.29479
27,2015-09-03,1.26493
28,2015-09-04,1.27441
29,2015-09-05,1.33881
30,2015-09-06,1.29583
31,2015-09-07,1.24665
32,2015-09-08,1.24243
33,2015-09-09,1.20651
34,2015-09-10,1.16577
35,2015-09-11,0.982978
36,2015-09-12,1.03874
37,2015-09-13,0.936003
38,2015-09-14,0.875622
39,2015-09-15,0.94441
40,2015-09-16,0.907175
41,2015-09-17,0.874231
42,2015-09-18,0.853685
43,2015-09-19,0.882391
44,2015-09-20,0.938445
45,2015-09-21,0.919047
46,2015-09-22,0.901796
47,2015-09-23,0.893406
48,2015-09-24,0.81361
49,2015-09-25,0.736223
50,2015-09-26,0.785964
51,2015-09-27,0.720839
52,2015-09-28,0.582886
53,2015-09-29,0.661146
54,2015-09-30,0.738644
55,2015-10-01,0.690215
56,2015-10-02,0.678574
57,2015-10-03,0.687171
58,2015-10-04,0.668379
59,2015-10-05,0.628643
60,2015-10-06,0.650645
61,2015-10-07,0.609388
62,2015-10-08,0.621716
63,2015-10-09,0.650628
64,2015-10-10,0.627857
65,2015-10-11,0.634963
66,2015-10-12,0.62603
67,2015-10-13,0.607655
68,2015-10-14,0.522968
69,2015-10-15,0.561878
70,2015-10-16,0.536495
71,2015-10-17,0.547178
72,2015-10-18,0.517734
73,2015-10-19,0.489014
74,2015-10-20,0.434829
75,2015-10-21,0.447329
76,2015-10-22,0.567702
77,2015-10-23,0.539657
78,2015-10-24,0.56359
79,2015-10-25,0.616039
80,2015-10-26,0.731317
81,2015-10-27,0.869641
82,2015-10-28,1.00248
83,2015-10-29,1.20666
84,2015-10-30,1.04122
85,2015-10-31,0.916627
86,2015-11-01,1.05567
87,2015-11-02,0.989789
88,2015-11-03,1.01336
89,2015-11-04,0.89905
90,2015-11-05,0.895637
91,2015-11-06,0.926032
92,2015-11-07,0.927974
93,2015-11-08,1.02747
94,2015-11-09,0.999278
95,2015-11-10,0.934348
96,2015-11-11,0.791829
97,2015-11-12,0.895711
98,2015-11-13,0.904096
99,2015-11-14,0.888812
100,2015-11-15,0.906368
101,2015-11-16,0.928962
102,2015-11-17,1.00798
103,2015-11-18,0.993319
104,2015-11-19,0.955532
105,2015-11-20,0.92492
106,2015-11-21,0.97614
107,2015-11-22,0.968018
108,2015-11-23,0.946969
109,2015-11-24,0.900191
110,2015-11-25,0.863537
111,2015-11-26,0.884183
112,2015-11-27,0.867951
113,2015-11-28,0.915703
114,2015-11-29,0.878614
115,2015-11-30,0.873119
116,2015-12-01,0.8748
117,2015-12-02,0.82121
118,2015-12-03,0.812143
119,2015-12-04,0.840041
120,2015-12-05,0.862438
121,2015-12-06,0.8355
122,2015-12-07,0.811264
123,2015-12-08,0.822118
124,2015-12-09,0.792167
125,2015-12-10,0.840396
126,2015-12-11,0.929762
127,2015-12-12,0.976973
128,2015-12-13,0.952884
129,2015-12-14,0.993022
130,2015-12-15,1.01415
131,2015-12-16,0.991182
132,2015-12-17,0.940701
133,2015-12-18,0.920127
134,2015-12-19,0.908072
135,2015-12-20,0.903885
136,2015-12-21,0.900771
137,2015-12-22,0.864202
138,2015-12-23,0.858077
139,2015-12-24,0.863262
140,2015-12-25,0.870363
141,2015-12-26,0.854603
142,2015-12-27,0.856365
143,2015-12-28,0.845005
144,2015-12-29,0.873054
145,2015-12-30,0.911958
146,2015-12-31,0.933542
147,2016-01-01,0.948024
148,2016-01-02,0.937124
149,2016-01-03,0.971905
150,2016-01-04,0.95448
151,2016-01-05,0.950176
152,2016-01-06,0.95086
153,2016-01-07,0.942005
154,2016-01-08,0.986789
155,2016-01-09,0.986833
156,2016-01-10,0.999231
157,2016-01-11,1.0616
158,2016-01-12,1.141
159,2016-01-13,1.1252
160,2016-01-14,1.18959
161,2016-01-15,1.20801
162,2016-01-16,1.22029
163,2016-01-17,1.32747
164,2016-01-18,1.42634
165,2016-01-19,1.37139
166,2016-01-20,1.53182
167,2016-01-21,1.55357
168,2016-01-22,1.50127
169,2016-01-23,1.97267
170,2016-01-24,2.1412
171,2016-01-25,2.49927
172,2016-01-26,2.27637
173,2016-01-27,2.38855
174,2016-01-28,2.52649
