,Date,Close
0,2017-07-25,0.10587
1,2017-07-26,0.105138
2,2017-07-27,0.107737
3,2017-07-28,0.104067
4,2017-07-29,0.107811
5,2017-07-30,0.106414
6,2017-07-31,0.10425
7,2017-08-01,0.099867
8,2017-08-02,0.100452
9,2017-08-03,0.106642
10,2017-08-04,0.107494
11,2017-08-05,0.128871
12,2017-08-06,0.130999
13,2017-08-07,0.148848
14,2017-08-08,0.224421
15,2017-08-09,0.242912
16,2017-08-10,0.349079
17,2017-08-11,0.392572
18,2017-08-12,0.446365
19,2017-08-13,0.876828
20,2017-08-14,1.29557
21,2017-08-15,1.05655
22,2017-08-16,1.43724
23,2017-08-17,1.96715
24,2017-08-18,2.384
25,2017-08-19,2.09337
26,2017-08-20,2.50258
27,2017-08-21,2.70111
28,2017-08-22,2.48527
29,2017-08-23,2.58043
30,2017-08-24,2.37932
31,2017-08-25,2.49687
32,2017-08-26,2.16936
33,2017-08-27,2.00519
34,2017-08-28,2.0429
35,2017-08-29,2.32758
36,2017-08-30,2.35005
37,2017-08-31,2.20379
38,2017-09-01,2.38417
39,2017-09-02,1.99268
40,2017-09-03,1.5758
41,2017-09-04,1.04957
42,2017-09-05,0.973716
43,2017-09-06,1.08614
44,2017-09-07,1.36622
45,2017-09-08,1.00683
46,2017-09-09,0.989301
47,2017-09-10,0.942159
48,2017-09-11,1.02581
49,2017-09-12,1.03568
50,2017-09-13,0.937204
51,2017-09-14,0.678784
52,2017-09-15,0.799709
53,2017-09-16,0.804198
54,2017-09-17,0.789589
55,2017-09-18,0.909202
56,2017-09-19,0.802425
57,2017-09-20,0.74789
58,2017-09-21,0.70214
59,2017-09-22,0.715893
60,2017-09-23,0.770965
61,2017-09-24,0.783268
62,2017-09-25,0.917059
63,2017-09-26,0.860747
64,2017-09-27,1.14366
65,2017-09-28,1.37788
66,2017-09-29,1.26624
67,2017-09-30,1.28358
68,2017-10-01,1.52653
69,2017-10-02,1.96467
70,2017-10-03,1.8207
71,2017-10-04,1.60148
72,2017-10-05,1.67849
73,2017-10-06,1.57991
74,2017-10-07,1.58425
75,2017-10-08,1.21723
76,2017-10-09,1.40378
77,2017-10-10,1.39336
78,2017-10-11,1.43373
79,2017-10-12,1.34376
80,2017-10-13,1.43548
81,2017-10-14,1.53819
82,2017-10-15,1.55844
83,2017-10-16,1.4407
84,2017-10-17,1.38995
85,2017-10-18,1.32756
86,2017-10-19,1.28461
87,2017-10-20,1.24192
88,2017-10-21,1.25405
89,2017-10-22,1.21377
90,2017-10-23,1.18373
