,Date,btc,eth,bnc
111,2017-11-13,6559.490234,316.716003,1.68662
112,2017-11-14,6635.75,337.631012,1.59258
113,2017-11-15,7315.540039,333.356995,1.53045
114,2017-11-16,7871.689941,330.924011,1.57792
115,2017-11-17,7708.990234,332.394012,1.51036
116,2017-11-18,7790.149902,347.612,1.67433
117,2017-11-19,8036.490234,354.385986,1.61377
118,2017-11-20,8200.639648,366.730011,1.62445
119,2017-11-21,8071.259766,360.401001,1.57406
120,2017-11-22,8253.549805,380.652008,1.61175
121,2017-11-23,8038.77002,410.165985,1.5487
122,2017-11-24,8253.69043,474.911011,1.71771
123,2017-11-25,8790.919922,466.276001,1.87387
124,2017-11-26,9330.549805,471.329987,1.85313
125,2017-11-27,9818.349609,480.355011,1.94298
126,2017-11-28,10058.799805,472.902008,1.91711
127,2017-11-29,9888.610352,427.52301,1.75153
128,2017-11-30,10233.599609,447.114014,1.99697
129,2017-12-01,10975.599609,466.540009,2.07023
130,2017-12-02,11074.599609,463.449005,2.08416
131,2017-12-03,11323.200195,465.852997,2.22725
132,2017-12-04,11657.200195,470.20401,2.49168
133,2017-12-05,11916.700195,463.281006,2.5953
134,2017-12-06,14291.5,428.588013,2.58769
135,2017-12-07,17899.699219,434.40799,2.77995
136,2017-12-08,16569.400391,456.031006,2.83067
137,2017-12-09,15178.200195,473.502014,2.61043
138,2017-12-10,15455.400391,441.721008,2.48337
139,2017-12-11,16936.800781,515.135986,2.70665
140,2017-12-12,17415.400391,651.43103,2.68475
141,2017-12-13,16408.199219,702.767029,2.7781
142,2017-12-14,16564.0,695.815979,3.15874
143,2017-12-15,17706.900391,684.447998,3.99615
144,2017-12-16,19497.400391,696.208984,4.66465
145,2017-12-17,19140.800781,719.974976,5.75672
146,2017-12-18,19114.199219,794.64502,5.61585
147,2017-12-19,17776.699219,826.822998,5.79233
148,2017-12-20,16624.599609,819.085999,5.17621
149,2017-12-21,15802.900391,821.062988,5.18001
150,2017-12-22,13831.799805,674.859985,4.33615
151,2017-12-23,14699.200195,719.387024,4.83926
152,2017-12-24,13925.799805,694.14801,5.28568
153,2017-12-25,14026.599609,765.833984,6.56001
154,2017-12-26,16099.799805,773.835999,9.02942
155,2017-12-27,15838.5,762.84198,10.107
156,2017-12-28,14606.5,737.02301,9.32141
157,2017-12-29,14656.200195,753.59198,8.8076
158,2017-12-30,12952.200195,717.257019,7.84101
159,2017-12-31,14156.400391,756.732971,8.63558
160,2018-01-01,13657.200195,772.640991,8.41461
161,2018-01-02,14982.099609,884.44397,8.83777
162,2018-01-03,15201.0,962.719971,9.53588
163,2018-01-04,15599.200195,980.921997,9.21399
164,2018-01-05,17429.5,997.719971,14.9172
165,2018-01-06,17527.0,1041.680054,22.7598
166,2018-01-07,16477.599609,1153.170044,18.656799
167,2018-01-08,15170.099609,1148.530029,18.2609
168,2018-01-09,14595.400391,1299.73999,17.4118
169,2018-01-10,14973.299805,1255.819946,17.3908
